host,class,dead_url,wayback_snapshot,file,ref_num,notes
filfre.net,404,https://www.filfre.net/2018/08/the-adventures-of-willy-beamish/,,Games/Dynamix/1990 - Rise of the Dragon.md,32,
filfre.net,404,https://www.filfre.net/2018/11/police-quest/,,Games/Police Quest/1992 - Police Quest - In Pursuit of the Death Angel VGA.md,36,
filfre.net,404,https://www.filfre.net/2025/01/homeworld/,,Games/Homeworld/2015 - Homeworld Remastered Collection.md,17,
filfre.net,404,https://www.filfre.net/2025/01/homeworld/,,Games/Homeworld/1999 - Homeworld.md,7,
filfre.net,404,https://www.filfre.net/tag/adventure-games/,,Games/Cancelled/CXL - Precinct (2013).md,14,
finance.yahoo.com,404,https://finance.yahoo.com/news/2010-04-19-daryl-gates-ex-police-chief-and-police-quest-swat-designer-di.html,,Designers/Daryl Gates.md,13,
fireflyworlds.com,ssl-error,https://fireflyworlds.com/,,Designers/Simon Bradbury.md,18,
fireflyworlds.com,ssl-error,https://fireflyworlds.com/2020/03/25/simon-bradbury-interview/,,Designers/Simon Bradbury.md,22,
fireflyworlds.com,ssl-error,https://fireflyworlds.com/about-us/,,Designers/Simon Bradbury.md,2,
forbes.com,404,https://www.forbes.com/2009/01/15/activision-kotick-games-tech-personal-cz_pb_0115kotick.html,,Publishers/Activision.md,9,
forums.gmgames.org,4xx-410,https://forums.gmgames.org/files/file/60-fb-pro-98-essential-mod-fix-stats-vpnfl99/,,Games/Front Page Sports/1993 - Front Page Sports - Football Pro.md,21,
forums.gmgames.org,4xx-410,https://forums.gmgames.org/files/file/60-fb-pro-98-essential-mod-fix-stats-vpnfl99/,,Games/Front Page Sports/1992 - Front Page Sports Football 92.md,19,
forums.gmgames.org,4xx-410,https://forums.gmgames.org/files/file/60-fb-pro-98-essential-mod-fix-stats-vpnfl99/,,Games/Front Page Sports/1994 - Front Page Sports - Baseball Pro.md,16,
forums.gmgames.org,4xx-410,https://forums.gmgames.org/files/file/60-fb-pro-98-essential-mod-fix-stats-vpnfl99/,,Games/Front Page Sports/1997 - Front Page Sports - Football Pro '98.md,23,
forums.gmgames.org,4xx-410,https://forums.gmgames.org/files/file/60-fb-pro-98-essential-mod-fix-stats-vpnfl99/,,Games/Front Page Sports/1994 - Front Page Sports - Football Pro '95.md,21,
ftp.apple.asimov.net,ssl-error,https://ftp.apple.asimov.net/images/games/collections/on-line_systems/,,Games/Hi-Res/1980 - Hi-Res Soccer.md,16,
